% Generated by Discussion model rust.34743.txt
% File generated on 2017/08/02 15:59:33

@relation pr1501703973943

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric

@data
badboy,"As discussed in https://internals.rust-lang.org/t/need-help-with-emscripten-port/3154/46 I'm trying to update the used LLVM checkout in Rust.",FALSE,FALSE,14,0,0,0,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"I basically took @shepmaster's code and applied it on top (though I did the commits manually, the original commits have better descriptions.",FALSE,FALSE,22,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"With these changes I was able to build rustc. make check throws one last error on run-pass/issue-28950.rs. Output: https://gist.github.com/badboy/bcdd3bbde260860b6159aa49070a9052",FALSE,FALSE,19,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"I took the metadata changes as is and they seem to work, though it now uses the module in another step. I'm not sure if this is the best and correct way.",FALSE,FALSE,32,0,3,3,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"Things to do:",FALSE,FALSE,3,0,4,4,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"Make run-pass/issue-28950.rs pass unrelated",FALSE,FALSE,4,0,5,5,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"Find out how the PositionIndependentExecutable setting is now used",FALSE,FALSE,9,0,6,6,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"Is the llvm::legacy still the right way to do these things?",FALSE,FALSE,11,0,7,7,TRUE,TRUE,FALSE,TRUE,0,1
badboy,"cc @brson @alexcrichton",FALSE,FALSE,3,0,8,8,TRUE,FALSE,FALSE,TRUE,0,1
rust-highfive,"Thanks for the pull request, and welcome! The Rust team is excited to review your changes, and you should hear from @pnkfelix (or someone else) soon.",FALSE,FALSE,26,1,9,0,FALSE,TRUE,TRUE,TRUE,0,2
rust-highfive,"If any changes to this PR are deemed necessary, please add them as extra commits. This ensures that the reviewer can see what has changed since they last reviewed the code. Due to the way GitHub handles out-of-date commits, this should also make it reasonably obvious what issues have or haven't been addressed. Large or tricky changes may require several passes of review and changes.",FALSE,FALSE,65,1,10,1,FALSE,TRUE,TRUE,TRUE,0,2
rust-highfive,"Please see the contribution instructions for more information.",FALSE,FALSE,8,1,11,2,FALSE,TRUE,FALSE,TRUE,0,2
badboy,"Ah, forgot to mention that I am using a LLVM checkout of http://llvm.org/git/llvm.git",FALSE,FALSE,13,2,12,0,TRUE,TRUE,FALSE,TRUE,0,3
frewsxcv,"Tangential comment to this pull request: Does anyone know what this got replaced with since it's presumably legacy now?",FALSE,FALSE,19,3,15,2,FALSE,TRUE,FALSE,TRUE,0,4
eefriedman,"LLVM pass manager infrastructure is currently getting rewritten to be more flexible.  See https://github.com/llvm-mirror/llvm/blob/d1aa4ea020d932ffc6a3c3e4d1bbab659391c725/tools/opt/NewPMDriver.cpp#L50 for a usage example for the new API.  That said, the rewrite isn't complete yet.",FALSE,FALSE,31,4,16,0,FALSE,TRUE,FALSE,TRUE,0,5
alexcrichton,"Looks like clang is also still using this, so we probably don't need to update just yet until they do at least.",FALSE,TRUE,22,5,18,1,FALSE,TRUE,FALSE,TRUE,0,6
shepmaster,"I'm pretty sure this is a hack that only makes sense in my fork (there's no PIE for microcontrollers :-)).",FALSE,TRUE,20,6,19,0,FALSE,TRUE,FALSE,TRUE,0,7
shepmaster,"Even if we wanted to remove this (doubtful), it should be removed and not commented-out. I believe that LLVM applies this flag at a more granular level now, so looking downward for another flag to apply it to seems reasonable.",FALSE,TRUE,40,6,20,1,FALSE,TRUE,TRUE,TRUE,0,7
badboy,"Right, this is one of the things mentioned above. I left it in, so I remember to fix that.",FALSE,FALSE,19,7,21,0,TRUE,TRUE,FALSE,TRUE,0,8
alexcrichton,"This was deleted here which appears to be replaced by this which is a new setPIELevel function on the LLVM module itself.",FALSE,TRUE,22,8,22,0,FALSE,TRUE,FALSE,TRUE,0,9
alexcrichton,"The LLVM module isn't available at this time so we'll just have to arrange for it to be set later. Perhaps something like this though:",FALSE,TRUE,25,8,23,1,FALSE,TRUE,FALSE,TRUE,0,9
alexcrichton,"Leave this block, but gated by #if LLVM_VERSION_MINOR <= 8 for compatibility with older versions.",FALSE,TRUE,15,8,24,2,FALSE,TRUE,FALSE,TRUE,0,9
alexcrichton,"Add LLVMRustSetModulePIELevel as a function which is a noop on pre-LLVM-3.9 and afterwards calls the setPIELevel function on the LLVM module.",FALSE,TRUE,21,8,25,3,FALSE,TRUE,FALSE,TRUE,0,9
badboy,"Did you mean we have a LLVMRustSetModulePIELevel with the #ifdef for calling the setPIELevel method?If so, at what point do we call it?",FALSE,FALSE,23,9,28,2,TRUE,TRUE,FALSE,TRUE,0,10
shepmaster,"If so, at what point do we call it?",FALSE,TRUE,9,10,30,1,FALSE,TRUE,FALSE,TRUE,0,11
shepmaster,"I'd believe you want to call it every time an LLVM module is created.",FALSE,TRUE,14,10,32,3,FALSE,TRUE,FALSE,TRUE,0,11
shepmaster,"Shouldn't commit commented-out code. This appears to be moved to the constructor, so I believe it's safe and correct to just remove this.",FALSE,TRUE,23,11,33,0,FALSE,TRUE,FALSE,TRUE,0,12
badboy,"Right. This will be removed.",FALSE,FALSE,5,12,34,0,TRUE,TRUE,FALSE,TRUE,0,13
shepmaster,"Although thinking of what @alexcrichton was saying, it might have to just be placed in an #if guard to maintain compatibility with earlier LLVM...",FALSE,TRUE,24,13,36,1,FALSE,TRUE,FALSE,TRUE,0,14
alexcrichton,"Yeah we may want this for compatibility with older llvm versions, but I'm not sure if the fix here is backwards compatible (it may be?)",FALSE,TRUE,25,14,38,1,FALSE,TRUE,FALSE,TRUE,0,15
badboy,"It will definitely need to change, as we changed the function.However, the new version might even work with old LLVM, doesn't it?",FALSE,FALSE,22,15,39,0,TRUE,TRUE,FALSE,TRUE,0,16
alexcrichton,"I think maybe yeah? I'm not actually sure what changed here, it looks like just a bit of shuffling around to me...",FALSE,TRUE,22,16,40,0,FALSE,TRUE,FALSE,TRUE,0,17
shepmaster,"It's indeed possible that the updated code (that creates the metadata early) will work with older LLVMs. Specifically, LLVM inverted the way the debug information graph is built. All the builders inside LLVM magically handle this, as long as there is something to add the debug information to. Creating the debug information as early as possible enables this.",FALSE,TRUE,58,17,42,1,FALSE,TRUE,FALSE,TRUE,0,18
shepmaster,"How did this work before? symbols wasn't even being used...",FALSE,TRUE,10,18,43,0,FALSE,FALSE,FALSE,TRUE,0,19
badboy,"It was used in the old version, see 0763041#diff-2030f049f8df2454e3720ea9403bc14aL363.",FALSE,FALSE,9,19,44,0,TRUE,FALSE,FALSE,TRUE,0,20
badboy,"I should have squashed that.",FALSE,FALSE,5,19,45,1,TRUE,TRUE,TRUE,TRUE,0,20
shepmaster,"I'm no core contributor, but I don't see the value in commit X introducing less-than-great variable names and then commit X+1 improving them. I'd just squash those two together.",FALSE,TRUE,29,20,46,0,FALSE,TRUE,FALSE,TRUE,0,21
badboy,"@shepmaster yes, I should have squashed them beforehand. I can still do this.",FALSE,FALSE,13,21,47,0,TRUE,TRUE,TRUE,TRUE,0,22
alexcrichton,"Right now our line limit is 100 characters so I think this will trigger make tidy, could you also add imports instead of using absolute paths here?",FALSE,TRUE,27,22,48,0,FALSE,TRUE,FALSE,TRUE,0,23
alexcrichton,"Can you wrap this in a #if to only execute this new part on LLVM version >= 9 and keep the old code around for 8 and below? That should help us keep compiling against older versions of LLVM.",FALSE,TRUE,39,23,49,0,FALSE,TRUE,TRUE,TRUE,0,24
