% Generated by Discussion model rails.18948.txt
% File generated on 2017/08/02 15:59:29

@relation pr1501703969805

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric

@data
kaspth,"Fixes #18900.",FALSE,FALSE,2,0,0,0,TRUE,TRUE,FALSE,TRUE,0,1
kaspth,"Makes caching a collection of template partials faster using read_multion the Rails cache store.",FALSE,FALSE,14,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1
kaspth,"Some caching implementations have optimized read_multi so we don't haveto check in the cache store for every template.",FALSE,FALSE,18,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1
kaspth,"@dhh, I will be tackling automatic caching next. This is just so my approach and choices, so far, can be reviewed.",FALSE,FALSE,21,0,3,3,TRUE,TRUE,FALSE,TRUE,0,1
dhh,"Seems like a legit approach to me �?. Much smoother implementation than the original as well.",FALSE,TRUE,16,1,4,0,FALSE,TRUE,FALSE,TRUE,0,2
kaspth,"Glad to hear it �?",FALSE,FALSE,5,2,5,0,TRUE,FALSE,FALSE,TRUE,0,3
kaspth,"Given your thoughts on having the caching be automatic, do you want to keep the support for a custom cache key?",FALSE,FALSE,21,2,7,2,TRUE,TRUE,FALSE,TRUE,0,3
dhh,"Yeah, I think that case still makes sense. But when you’re using the custom cache key like this, it should ignore the specific <% cache %> calls within the partials.",FALSE,TRUE,30,3,9,1,FALSE,TRUE,TRUE,TRUE,0,4
dhh,"I think using a custom cache key is going to be the minority case, so focusing on the default case first makes sense.",FALSE,TRUE,23,3,10,2,FALSE,TRUE,FALSE,TRUE,0,4
dhh,"On Feb 15, 2015, at 1:07 PM, Kasper Timm Hansen notifications@github.com wrote:",FALSE,TRUE,12,3,11,3,FALSE,TRUE,FALSE,TRUE,0,4
dhh,"Glad to hear it",FALSE,TRUE,4,3,12,4,FALSE,TRUE,FALSE,TRUE,0,4
dhh,"Given your thoughts on having the caching be automatic, do you want to keep the support for a custom cache key?",FALSE,TRUE,21,3,14,6,FALSE,TRUE,FALSE,TRUE,0,4
dhh,"<%= render partial: 'item', collection: @items, cache: ->(item) { [item, 'show'] } %>—Reply to this email directly or view it on GitHub #18948 (comment).",FALSE,TRUE,24,3,15,7,FALSE,TRUE,FALSE,TRUE,0,4
kaspth,"Got it �?",FALSE,FALSE,3,4,16,0,TRUE,FALSE,FALSE,TRUE,0,5
kaspth,"The Railties tests fail because PartialRenderer doesn't respond to collection_cache= here. But I don't understand why it doesn't.",FALSE,FALSE,18,5,17,0,TRUE,TRUE,FALSE,TRUE,0,6
kaspth,"PartialRenderer is set to be autoloaded, so this reference should require CollectionCaching and include it into the renderer. I'm all ears if anybody has any ideas.",FALSE,FALSE,26,5,18,1,TRUE,TRUE,TRUE,TRUE,0,6
georgeclaghorn,"You've declared collection_cache to be a mattr_reader. There doesn't seem to be a corresponding writer.",FALSE,FALSE,15,6,19,0,FALSE,TRUE,FALSE,TRUE,0,7
