% Generated by Discussion model rails.26266.txt
% File generated on 2017/08/02 15:59:30

@relation pr1501703970394

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric

@data
jmccartie,"Friends don't let friends use INT as a primary key.— Schneems (@schneems)May 13, 2016",FALSE,FALSE,14,0,0,0,TRUE,TRUE,FALSE,TRUE,0,1
jmccartie,"Per a conversation with @sgrif: changes default primary keys from Integer to BIGINT for both Postgresql and MySQL.  Leaves behavior alone for SQLite since this database does not provide support for BIGINT primary keys.",FALSE,FALSE,35,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1
jmccartie,"Other Information",FALSE,FALSE,2,0,3,3,TRUE,TRUE,FALSE,TRUE,0,1
jmccartie,"For obvious reasons, this also requires foreign keys to change from integer to bigints. As a result the test suite's schema.rb has been change in the necessary places.",FALSE,FALSE,28,0,4,4,TRUE,TRUE,FALSE,FALSE,1,1
jmccartie,"I'll squash and add a CHANGELOG entry once the rest looks ok...",FALSE,FALSE,12,0,5,5,TRUE,TRUE,FALSE,TRUE,0,1
rails-bot,"Thanks for the pull request, and welcome! The Rails team is excited to review your changes, and you should hear from @kaspth (or someone else) soon.",FALSE,FALSE,26,1,6,0,FALSE,TRUE,TRUE,TRUE,0,2
rails-bot,"If any changes to this PR are deemed necessary, please add them as extra commits. This ensures that the reviewer can see what has changed since they last reviewed the code. Due to the way GitHub handles out-of-date commits, this should also make it reasonably obvious what issues have or haven't been addressed. Large or tricky changes may require several passes of review and changes.",FALSE,FALSE,65,1,7,1,FALSE,TRUE,TRUE,TRUE,0,2
rails-bot,"This repository is being automatically checked for code quality issues using Code Climate. You can see results for this analysis in the PR status below. Newly introduced issues should be fixed before a Pull Request is considered ready to review.",FALSE,FALSE,40,1,8,2,FALSE,TRUE,TRUE,TRUE,0,2
rails-bot,"Please see the contribution instructions for more information.",FALSE,FALSE,8,1,9,3,FALSE,FALSE,FALSE,TRUE,0,2
sgrif,"We'll need to make sure that migrations written against 5.0 and later don't have the type of their primary key changed.",FALSE,TRUE,21,2,11,1,FALSE,TRUE,FALSE,TRUE,0,3
jmccartie,"@sgrif Can you recommend a best-practice for ensuring that?  Have we done something like that in the past that I can learn from?",FALSE,FALSE,24,3,12,0,TRUE,TRUE,FALSE,TRUE,0,4
jmccartie,"@sgrif Thanks.",FALSE,FALSE,2,5,14,0,TRUE,TRUE,FALSE,TRUE,0,6
