% Generated by Discussion model node.9139.txt
% File generated on 2017/08/11 11:55:42

@relation pr1502466942424

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric
@attribute idPara numeric

@data
sam-github,"make -j8 test (UNIX), or vcbuild test nosign (Windows) passes",FALSE,FALSE,10,0,1,1,TRUE,FALSE,FALSE,TRUE,0,1,1
sam-github,"tests and/or benchmarks are included",FALSE,FALSE,5,0,2,2,TRUE,FALSE,FALSE,TRUE,0,1,2
sam-github,"documentation is changed or added",FALSE,FALSE,5,0,3,3,TRUE,FALSE,FALSE,TRUE,0,1,3
sam-github,"commit message follows commit guidelines",FALSE,FALSE,5,0,4,4,TRUE,FALSE,FALSE,TRUE,0,1,4
sam-github,"Affected core subsystem(s)",FALSE,FALSE,3,0,5,5,TRUE,TRUE,FALSE,TRUE,0,1,5
sam-github,"Description of change",FALSE,FALSE,3,0,7,7,TRUE,TRUE,FALSE,TRUE,0,1,6
sam-github,"In closed environments, self-signed or privately signed certificates arecommonly used, and rejected by Node.js since their root CAs are notwell-known. Allow extending the set of well-known compiled-in CAs viaenvironment, so they can be set as a matter of policy.",FALSE,FALSE,39,0,8,8,TRUE,TRUE,FALSE,TRUE,0,1,7
sam-github,"Note that #8334 addresses a similar but not identical use-case, and works better for those (like linux distributions) that are willing to recompile Node.js to use OpenSSL's default certificate store. #8334doesn't address those who cannot recompile, do not have access to the system certificate store, orwho are are on a system where the default certificate store is not exposed as an OpenSSL compatiblestore (for example, OS X and Windows).",FALSE,FALSE,69,0,9,9,TRUE,TRUE,FALSE,TRUE,0,1,8
sam-github,"See #3159, #8334",FALSE,FALSE,3,0,10,10,TRUE,TRUE,FALSE,TRUE,0,1,9
sam-github,"Partially fixes #4175 (particularly #4175 (comment)), and may also address Microsoft/tfs-cli#118 and apigee/microgateway-core#9 without forcing them to recompile node.",FALSE,FALSE,19,0,11,11,TRUE,TRUE,FALSE,TRUE,0,1,10
mscdex,"This function can be passed as a second argument to listen() to make things shorter.",FALSE,FALSE,15,1,12,0,FALSE,FALSE,FALSE,TRUE,0,2,1
mscdex,"Also, you might wrap it in a common.mustCall() to be extra safe.",FALSE,FALSE,12,2,13,0,FALSE,FALSE,FALSE,FALSE,1,3,1
mscdex,"It would be better to instead set these variables in the config object passed to fork():",FALSE,FALSE,16,3,14,0,FALSE,FALSE,FALSE,FALSE,1,4,1
mscdex,"This should be indented more to align with the other function arguments.",FALSE,FALSE,12,4,15,0,FALSE,FALSE,TRUE,TRUE,0,5,1
mscdex,"&& should be at end of the previous line.",FALSE,FALSE,9,5,16,0,FALSE,FALSE,TRUE,TRUE,0,6,1
mscdex,"This should be indented more to align with the other function arguments.",FALSE,FALSE,12,6,17,0,FALSE,FALSE,TRUE,TRUE,0,7,1
mscdex,"There's an extra space between 'the' and 'well'.",FALSE,FALSE,8,7,18,0,FALSE,FALSE,FALSE,TRUE,0,8,1
mscdex,"There's an extra space before 'A message'.",FALSE,FALSE,7,8,19,0,FALSE,FALSE,FALSE,TRUE,0,9,1
mscdex,"I think the fprintf()s should be replaced with a call to process.emitWarning(). I'm not sure if there is already something in node internals that only emits a warning once that could be reused.",FALSE,FALSE,33,9,20,0,FALSE,TRUE,TRUE,FALSE,1,10,1
bnoordhuis,"Typo: extra",FALSE,FALSE,2,10,21,0,FALSE,FALSE,FALSE,TRUE,0,11,1
sam-github,"I'll look around to see if I can call process.emitWarning() from C++.",FALSE,FALSE,12,11,22,0,TRUE,TRUE,FALSE,TRUE,0,12,1
sam-github,"Note that there is a pre-existing fprintf(stderr, ... statement at https://github.com/nodejs/node/blob/7014566273ecef5bb28822a66fec0c1e625f30fb/src/node_crypto.cc#L5788, should it be emitWarning, too?",FALSE,FALSE,16,11,23,1,TRUE,TRUE,TRUE,FALSE,1,12,2
mscdex,"@sam-github No, because that's a more fatal error and the process will abort after it prints that message.",FALSE,FALSE,18,12,24,0,FALSE,TRUE,FALSE,FALSE,1,13,1
sam-github,"@mscdex @bnoordhuis Now calling process.emitWarning(), PTAL",FALSE,TRUE,6,13,25,0,TRUE,TRUE,FALSE,TRUE,0,14,1
sam-github,"Also, a design detail: currently, the value of the NODE_EXTRA_CA_CERTS is retrieved from env during node startup. So, this doesn't work as maybe someone would hope:",FALSE,TRUE,26,13,26,1,TRUE,TRUE,FALSE,TRUE,0,14,2
sam-github,"It would be possible to call secure_getenv() during the root store initialization to enable the above usage.",FALSE,TRUE,17,13,27,2,TRUE,TRUE,FALSE,FALSE,1,14,3
sam-github,"But, I think how it is now is consistent with general node practice, and that anyone who can edit the program source could also just provide the extra CA certs themselves via the options.",FALSE,TRUE,34,13,28,3,TRUE,TRUE,FALSE,FALSE,1,14,4
sam-github,"If the call to emitWarning() from c++ is OK, I will update the docs and add a unit test.",FALSE,TRUE,19,14,30,0,TRUE,TRUE,FALSE,TRUE,0,15,1
mscdex,"Is this necessary? What about just calling server.close() inside the server's connection handler?",FALSE,TRUE,13,15,31,0,FALSE,TRUE,FALSE,FALSE,1,16,1
sam-github,"I don't really mind, though I don't see how that is preferable. unref allows node to close gracefully when it has nothing else to do, closing would also have the same effect, why is it better?",FALSE,TRUE,36,16,32,0,TRUE,TRUE,FALSE,FALSE,1,17,1
mscdex,"It might be better to use MakeCallback() here instead of calling it directly.",FALSE,TRUE,13,17,33,0,FALSE,TRUE,FALSE,FALSE,1,18,1
mhdawson,"@mscdex, for my benefit when would you suggest MakeCallback instead of Call or vice versa. I see that existing code has a mix of both.",FALSE,FALSE,25,18,34,0,FALSE,TRUE,FALSE,FALSE,1,19,1
mscdex,"I assume MakeCallback() should almost always be used because of domains/async_hooks and such?",FALSE,TRUE,13,19,35,0,FALSE,TRUE,TRUE,FALSE,1,20,1
mhdawson,"I did find this more detailed discussion on the topic from a while back: nodejs/nan#284. I think the net is that unless you have a specific reason that you don't want process._tickCallback() to be called, then MakeCallback() is preferred over the direct Call.",FALSE,FALSE,43,20,36,0,FALSE,TRUE,FALSE,FALSE,1,21,1
sam-github,"@mhdawson 's link above says",FALSE,TRUE,5,21,37,0,TRUE,FALSE,FALSE,TRUE,0,22,1
sam-github,"The latter (MakeCallback) case calls the JS callback function, but then also ends the current tick, calling process._tickCallback() and any other callbacks registered via nextTick(). This form is intended only for use by C++ code that was dispatched from the libuv event loop, and not for C++ code that was invoked from JS code.",FALSE,TRUE,54,21,38,1,TRUE,TRUE,FALSE,TRUE,0,22,2
sam-github,"It sounds like MakeCallback() has lots of side effects, are you sure its right? My usage seems to fit the  not C++ invoked from the event loop  case.",FALSE,TRUE,28,21,39,2,TRUE,TRUE,FALSE,FALSE,1,22,3
sam-github,"It occured to me that process.emitWarning() could actually emit... which would call user code, but I checked, and it emits in the next tick, so isn't going to hit any user-supplied js.",FALSE,TRUE,32,21,40,3,TRUE,TRUE,FALSE,FALSE,1,22,4
sam-github,"I don't know enough about the distinction to choose, I'll need some guidance here.",FALSE,TRUE,14,21,41,4,TRUE,TRUE,FALSE,TRUE,0,22,5
mhdawson,"@bnoordhuis do you have an opinion on Call/MakeCallback in this instance ?",FALSE,TRUE,12,22,42,0,FALSE,TRUE,FALSE,TRUE,0,23,1
sam-github,"@trevnorris I think that MakeCallback can cause running microtasks as a side-effect (https://github.com/nodejs/node/blob/09d41e22cc9bd3c35b454dc239c616be12e26a73/src/node.cc#L1268), which would not be desireable, but I'm not sure how to demonstrate this. Trevor, you know this code, should usage like above use direct Call(), or node::MakeCallback()?",FALSE,TRUE,40,23,44,1,TRUE,TRUE,TRUE,FALSE,1,24,1
sam-github,"My failed attempt at making a  microtask  :-( at https://gist.github.com/927a451526de55847d53694b53b01a20",FALSE,TRUE,10,23,45,2,TRUE,TRUE,FALSE,TRUE,0,24,2
mhdawson,"LGTM subject to fixing up @mscdex remaining comments.",FALSE,TRUE,8,24,46,0,FALSE,FALSE,FALSE,TRUE,0,25,1
sam-github,"conversation in #9139 (comment) looks outdated because I added MakeCallback(), but it is not outdated. /to @bnoordhuis @trevnorris",FALSE,TRUE,18,25,47,0,TRUE,TRUE,FALSE,TRUE,0,26,1
bnoordhuis,"Should be static.",FALSE,TRUE,3,26,48,0,FALSE,FALSE,FALSE,TRUE,0,27,1
sam-github,"done, note that root_certs a few lines above is not static, but appears that it could be (I was mirroring its definition). root_cert_store below is explicitly declared extern, it shouldn't be static.",FALSE,TRUE,32,27,49,0,TRUE,FALSE,TRUE,TRUE,0,28,1
bnoordhuis,"Don't leave dead code in.",FALSE,TRUE,5,29,51,0,FALSE,FALSE,FALSE,TRUE,0,30,1
sam-github,"Its not dead code. I am asking for confirmation that MakeCallbacks() is the right thing to do, I believe the #if 0 branch is the correct one, and that MakeCallbacks() is designed for callbacks from uv, and other async usage, not for this kind of direct js-to-c++-to-js usage. That it is leaking handles and running microtasks make it seem the wrong tool. @trevnorris @bnoordhuis Shouldn't this be a simple Call()?",FALSE,TRUE,70,30,54,2,TRUE,TRUE,FALSE,TRUE,0,31,1
bnoordhuis,"Call() interacts poorly with domains and other mechanisms that hang off async_hooks so it's really only safe for internal JS code. W.r.t. handle leaks, Call does that as well (the return value.)",FALSE,TRUE,32,31,55,0,FALSE,TRUE,FALSE,FALSE,1,32,1
sam-github,"@bnoordhuis what is  internal JS code ? In this case I am calling https://github.com/nodejs/node/blob/6845d6e3189cb6f7d2c847ab34a4f5b2eaf7a77f/lib/internal/process/warning.js#L28-L49, which is internal. It does nextTick a process.emit(), which can call user-code. Is that the difference here? That user code (process.on('warning', user....) was triggered from within createServer(), so we need to use MakeCallback() to keep the accounting correct for domains, etc.?",FALSE,TRUE,54,32,57,1,TRUE,TRUE,FALSE,FALSE,1,33,1
sam-github,"Otherwise, this doesn't seem so different from url.js, which calls into c++ to do some work, and synchronously calls back with ->Call() to internal js code. Or node_http_parser, which uses Call() to call pushValueToArray(), a js function from lib/internal/bootstrap_node.js",FALSE,TRUE,39,32,58,2,TRUE,TRUE,FALSE,FALSE,1,33,2
sam-github,"I (and @mhdawson , perhaps others), would like to understand the basic principle here, so I correctly distinguish between the two in the future.",FALSE,TRUE,24,32,59,3,TRUE,TRUE,FALSE,TRUE,0,33,3
sam-github,"Also, with MakeCallback():",FALSE,TRUE,3,32,60,4,TRUE,TRUE,FALSE,TRUE,0,33,4
sam-github,"How would I demonstrate that createServer(), when it uses MakeCallback(), is causing micro tasks and ticks to get called? Or do they not? I'm trying to see what the side-effects are, but couldn't prove there were any with https://gist.github.com/sam-github/927a451526de55847d53694b53b01a20 (I was looking to cause output between the BEGIN and END, which should not happen).",FALSE,TRUE,54,32,61,5,TRUE,TRUE,TRUE,FALSE,1,33,5
sam-github,"I addressed your other comments, thanks, and I will fix the handle leak, looking into that now.",FALSE,TRUE,17,32,62,6,TRUE,TRUE,FALSE,TRUE,0,33,6
bnoordhuis,"Oh, that's a good point; I didn't realize emitWarning() defers to the next tick. In that case Call() should be fine.",FALSE,TRUE,21,33,63,0,FALSE,TRUE,TRUE,FALSE,1,34,1
bnoordhuis,"You can leave out the strlen().",FALSE,TRUE,6,34,64,0,FALSE,FALSE,FALSE,TRUE,0,35,1
bnoordhuis,"Oh, and you could write this as:",FALSE,TRUE,7,35,65,0,FALSE,FALSE,FALSE,TRUE,0,36,1
bnoordhuis,"It's a little more succinct but whatever you prefer.",FALSE,TRUE,9,35,66,1,FALSE,TRUE,FALSE,TRUE,0,36,2
