% Generated by Discussion model rust.31539.txt
% File generated on 2017/08/11 11:55:43

@relation pr1502466943866

@attribute author String
@attribute textual String
@attribute isProjectMember {TRUE, FALSE}
@attribute isInvited {TRUE, FALSE}
@attribute numberOfWords numeric
@attribute commentsSoFar numeric
@attribute allUtterancesSoFar numeric
@attribute utterancesInCommentSoFar numeric
@attribute utteredByOriginalPoster {TRUE, FALSE}
@attribute hasCapitalizedWord {TRUE, FALSE}
@attribute containsShould {TRUE, FALSE}
@attribute hasDecisions {TRUE, FALSE}
@attribute howManyDecisions numeric
@attribute idComment numeric
@attribute idPara numeric

@data
michaelwoerister,"This PR changes the way symbol names are generated by the compiler. The new algorithm reflects the current state of the discussion over at rust-lang/rfcs#689.",FALSE,FALSE,25,0,0,0,TRUE,TRUE,FALSE,TRUE,0,1,1
michaelwoerister,"Once it is done, it will also fix issue #30330. I want to add a test case for that before closing it though.",FALSE,FALSE,23,0,1,1,TRUE,TRUE,FALSE,TRUE,0,1,2
michaelwoerister,"I also want to do some performance tests. The new algorithm does a little more work than the previous one due to various reasons, and it might make sense to adapt it in a way that allows it to be implemented more efficiently.",FALSE,FALSE,43,0,2,2,TRUE,TRUE,FALSE,TRUE,0,1,3
michaelwoerister,"@nikomatsakis: It would be nice if there was a way of finding out if a DefPath refers to something in the current crate or in an external one. The information is already there, it's just not accessible at the moment. I'll probably propose some minor changes there, together with some facilities to allow for accessing DefPaths without allocating a Vec for them.",FALSE,FALSE,62,0,4,4,TRUE,TRUE,FALSE,TRUE,0,1,4
michaelwoerister,"Actually  crate qualify  symbols, as promised in the docs.",FALSE,FALSE,9,0,6,6,TRUE,FALSE,FALSE,TRUE,0,1,5
michaelwoerister,"Add a test case showing that symbol names are deterministic.",FALSE,FALSE,10,0,7,7,TRUE,FALSE,FALSE,TRUE,0,1,6
michaelwoerister,"Maybe add a test case showing that symbol names are stable against small code changes.",FALSE,FALSE,15,0,8,8,TRUE,FALSE,FALSE,TRUE,0,1,7
michaelwoerister,"One thing that might be interesting to the @rust-lang/compiler team:I've used SipHash exclusively now for generating symbol hashes. Previously it was only used for monomorphizations and the rest of the code used a truncated version on SHA256. Is there any benefit to sticking to SHA? I don't really see one since we only used 64 bits of the digest anyway, but maybe I'm missing something? ==> Just switched things back to SHA-2 for now.",FALSE,FALSE,74,0,10,10,TRUE,TRUE,FALSE,TRUE,0,1,8
rust-highfive,"r? @Aatch",FALSE,FALSE,2,1,11,0,FALSE,FALSE,FALSE,TRUE,0,2,1
rust-highfive,"(rust_highfive has picked a reviewer for you, use r? to override)",FALSE,FALSE,11,1,12,1,FALSE,FALSE,FALSE,TRUE,0,2,2
bluss,"SipHash it is an algorithm designed by cryptographers, but it's not in the same category of hash functions as SHA-2 which is a cryptographic hash function.",FALSE,FALSE,26,2,14,1,FALSE,TRUE,FALSE,TRUE,0,3,1
bluss,"For example, the SipHash paper says",FALSE,FALSE,6,2,15,2,FALSE,TRUE,FALSE,TRUE,0,3,2
bluss,"In general, building a MAC from a general-purpose cryptographic hash function appears to be a highly suboptimal ap-proach: general-purpose cryptographic hash functions perform many extra com-putations for the goal of collision resistance on public inputs, while MACs havesecret keys and do not need collision resistance.",FALSE,FALSE,45,2,16,3,FALSE,TRUE,FALSE,TRUE,0,3,3
bluss,"We comment that SipHash is not meant to be, and (obviously) is not, collision-resistant.",FALSE,FALSE,14,2,18,5,FALSE,TRUE,FALSE,TRUE,0,3,4
bluss,"This use case does not use a secret key with SipHash (it always uses the default key), and it wants to have collision resistance on public inputs. Yes, in practice, we can find collisions for either of them if the hash is only 64 bits long, but only SHA-2 is designed for this case.",FALSE,FALSE,54,2,20,7,FALSE,TRUE,FALSE,TRUE,0,3,5
